# algorithm=org.fhcrc.cpas.tools.FeatureStrategyPeakClusters
# date=Tue Mar 14 10:12:41 PST 2006
# filter= --scanFirst=5000 --scanLast=10000
# java.vendor=Sun Microsystems Inc.
# java.version=1.5.0_06
# origSourceFile=ms1features_3.tsv
# revision=3841
# user.name=dhmay
scan	time	mz	accurateMZ	mass	intensity	charge	chargeStates	kl	background	median	peaks	scanFirst	scanLast	scanCount	totalIntensity	description
8737	3080.29	400.08295	false	798.15137	483.4394	2	1	0.65097076	0.0	0.0	2	8726	8755	6	6422.847	
8128	2862.66	400.20975	false	798.40497	497.1943	2	1	0.59296864	0.0	0.0	2	8116	8145	6	7344.19	
5512	1939.65	400.228	false	399.22073	11363.662	1	1	0.2351396	0.0	0.0	2	5500	5530	6	80032.18	
8562	3016.62	400.46912	false	798.9237	1056.9944	2	1	0.6658	0.0	0.0	2	8550	8573	5	8738.892	
7888	2775.61	400.83093	false	399.82367	1175.6135	1	1	0.38819906	0.0	0.0	2	7876	7900	5	9762.957	
9792	3454.66	401.0301	false	800.04565	812.1518	2	1	0.7400076	0.0	0.0	2	9786	9810	5	5744.661	
6574	2312.62	402.04907	false	802.0836	2895.458	2	1	0.20529346	0.0	0.0	3	6562	6586	5	26626.451	
5040	1776.78	402.65146	false	401.6442	1869.5505	1	1	0.56382394	0.0	0.0	2	5016	5052	7	18440.826	
9417	3322.14	404.17807	false	806.3416	816.3837	2	1	0.62384003	0.0	0.0	2	9400	9423	5	5935.448	
8527	3004.24	404.28748	false	403.2802	1416.0212	1	1	0.8069534	0.0	0.0	2	8509	8544	7	13116.442	
7667	2696.65	404.293	true	403.28574	2629.0125	1	1	0.32555515	0.0	0.0	2	7649	7673	5	19215.684	
7213	2536.43	404.5506	true	1210.63	48145.637	3	1	0.5086955	0.0	0.0	3	7178	7243	12	592403.75	
9565	3375.17	405.05093	false	404.04367	637.02435	1	1	0.30721042	0.0	0.0	2	9542	9571	6	4754.2905	
8003	2817.16	405.08334	false	404.07608	1216.3661	1	1	0.29949784	0.0	0.0	2	7991	8014	5	10164.428	
7485	2632.91	406.0018	false	809.9891	3115.3823	2	1	0.81802106	0.0	0.0	2	7468	7497	6	21564.771	
9856	3477.21	406.76968	false	405.76242	466.3813	1	1	0.22073752	0.0	0.0	2	9850	9877	6	4220.049	
9520	3358.69	407.32083	false	812.62714	784.5873	2	1	0.7557714	0.0	0.0	2	9508	9537	6	6391.232	
7784	2738.11	407.98105	false	813.9476	2655.073	2	1	0.70541394	0.0	0.0	2	7778	7807	6	15718.099	
5188	1827.2	408.55786	false	1222.6519	3656.965	3	1	0.5276296	0.0	0.0	4	5165	5188	5	20382.654	
6486	2282.22	408.8975	false	815.78046	4088.5483	2	1	0.768428	0.0	0.0	2	6474	6497	5	23858.24	
5872	2065.73	408.9316	false	815.8487	3259.1497	2	1	0.833465	0.0	0.0	2	5866	5889	5	27394.992	
9798	3456.75	409.07117	false	816.1278	278.84766	2	1	0.54026437	0.0	0.0	2	9786	9810	5	3050.6938	
8934	3150.48	409.30554	false	408.29828	1269.9775	1	1	0.15825005	0.0	0.0	2	8928	8951	5	10070.407	
