# algorithm=org.fhcrc.cpas.tools.FeatureStrategyPeakClusters
# date=Tue Mar 14 10:02:41 PST 2006
# filter= --scanFirst=5000 --scanLast=10000
# java.vendor=Sun Microsystems Inc.
# java.version=1.5.0_06
# origSourceFile=ms1features_2.tsv
# revision=3841
# user.name=dhmay
scan	time	mz	accurateMZ	mass	intensity	charge	chargeStates	kl	background	median	peaks	scanFirst	scanLast	scanCount	totalIntensity	description
6421	2373.15	400.01825	false	798.022	598.0213	2	1	0.5402873	0.0	0.0	2	6398	6427	6	5932.5767	
7035	2591.99	400.17636	false	1596.6764	2351.6584	4	1	0.7679184	0.0	0.0	3	7023	7047	5	18195.014	
6871	2533.7	400.63013	false	799.2457	694.4314	2	1	0.94859904	0.0	0.0	2	6859	6889	6	6930.9165	
8306	3050.22	401.6389	false	400.63162	500.8285	1	1	0.11414981	0.0	0.0	2	8301	8330	6	3683.4495	
8248	3029.39	402.0278	false	401.02054	425.86365	1	1	0.25367585	0.0	0.0	2	8231	8254	5	2909.3076	
8724	3202.72	402.4259	false	802.8373	281.09314	2	1	0.45757616	0.0	0.0	2	8713	8746	7	2398.3706	
9558	3510.45	402.50003	false	802.98553	226.3836	2	1	0.53972715	0.0	0.0	2	9541	9574	7	2923.3748	
6189	2289.73	402.87305	false	2009.3289	945.31714	5	1	0.9024694	0.0	0.0	3	6179	6213	7	8546.013	
9592	3522.88	404.09357	false	403.0863	373.83936	1	1	0.71441984	0.0	0.0	2	9586	9610	5	2227.7683	
5548	2055.98	404.5501	true	1210.6285	13026.098	3	1	0.34875998	0.0	0.0	4	5514	5589	14	268250.84	
5087	1888.0	405.2132	false	404.20593	2121.9683	1	1	0.24458078	0.0	0.0	2	5075	5098	5	17653.018	
5766	2134.86	405.6475	false	809.28046	1501.1101	2	1	0.652309	0.0	0.0	2	5750	5772	5	9045.812	
5273	1956.38	405.76407	false	404.7568	1633.9165	1	1	0.4603039	0.0	0.0	2	5255	5296	8	16283.282	
9478	3481.2	405.816	false	404.80875	290.9849	1	1	0.69064707	0.0	0.0	2	9473	9501	6	2198.9932	
5641	2089.1	406.8071	false	811.5997	2509.7576	2	1	0.61358535	0.0	0.0	4	5630	5653	5	16193.638	
5166	1916.84	407.21887	true	812.4232	32789.504	2	1	0.97830117	0.0	0.0	2	5133	5228	18	658390.0	
9495	3487.35	407.58942	false	813.1643	378.40167	2	1	0.5276012	0.0	0.0	2	9490	9512	5	3145.3591	
8683	3188.11	408.9088	false	407.90155	138.32018	1	1	0.70738447	0.0	0.0	2	8665	8695	6	2330.8384	
5693	2107.81	409.05182	false	816.0891	1180.681	2	1	0.83110076	0.0	0.0	2	5670	5698	6	13099.526	
9281	3407.86	409.08127	false	408.074	269.09473	1	1	0.48419148	0.0	0.0	2	9263	9287	5	1804.6049	
6836	2521.31	409.49298	false	408.48572	823.3237	1	1	0.2609775	0.0	0.0	2	6818	6842	5	5149.4766	
6543	2416.88	409.8193	false	408.81204	1107.9891	1	1	0.46961495	0.0	0.0	2	6531	6561	6	7799.9526	
8266	3035.53	409.8785	false	817.7425	232.0473	2	1	0.47569534	0.0	0.0	2	8248	8278	6	2338.3381	
9101	3340.78	410.08972	false	818.1649	261.7241	2	1	0.7304141	0.0	0.0	2	9083	9106	5	2356.4934	
7142	2629.52	410.35104	false	409.34378	671.7481	1	1	0.19492728	0.0	0.0	2	7142	7165	5	6345.0015	
7905	2905.15	411.81665	false	821.6188	576.0318	2	1	0.5842435	0.0	0.0	2	7899	7922	5	3822.3052	
6019	2227.05	412.1375	false	411.13025	1742.5242	1	1	0.51729137	0.0	0.0	2	6013	6037	5	11755.793	
5171	1918.89	412.14117	false	411.1339	1923.1082	1	1	0.55295473	0.0	0.0	2	5149	5176	6	19560.799	
8010	2942.53	412.2308	false	822.4471	651.35803	2	1	0.5760876	0.0	0.0	2	7980	8034	10	8606.529	
9592	3522.88	413.54788	false	412.54062	273.95938	1	1	0.21186616	0.0	0.0	2	9568	9598	6	2176.568	
5933	2195.59	413.69482	false	825.3751	1340.6096	2	1	0.7841114	0.0	0.0	2	5921	5950	6	18805.375	
7362	2708.96	414.01425	false	826.014	461.90317	2	1	0.65611076	0.0	0.0	2	7333	7368	7	4222.125	
5559	2060.01	414.15887	false	826.3032	1181.6267	2	1	0.72669786	0.0	0.0	3	5548	5571	5	9536.988	
9343	3431.1	414.27856	false	826.5426	419.42792	2	1	0.9831872	0.0	0.0	3	9326	9349	5	3244.779	
8882	3261.43	414.5231	false	827.0317	287.8286	2	1	0.53744286	0.0	0.0	2	8876	8905	6	2233.707	
5438	2016.33	414.6018	false	413.59454	1725.7949	1	1	0.85960567	0.0	0.0	2	5427	5449	5	14285.12	
7107	2617.05	415.17972	false	414.17245	710.13214	1	1	0.39480355	0.0	0.0	2	7083	7113	6	5140.798	
7304	2688.16	415.44336	false	828.8722	941.88477	2	1	0.7681326	0.0	0.0	2	7298	7322	5	5867.5386	
